"One of us snores","Frequent bathroom","Sick","No longer physically intimate","prefer different room temperature","Argument or fight","Not enough space","Dont want to share the covers","Sleep with child","Different sleep time","att20","Hypothesis 1","Hypothesis 2","Hypothesis 3","Age","StartDate","EndDate","Which of the following best describes your current relationship status?","How long have you been in your current relationship? If you are not currently in a relationship, please answer according to your last relationship.","When both you and your partner are at home, how often do you sleep in separate beds?","When you're not sleeping in the same bed as your partner, where do you typically sleep?","att7","When you're not sleeping in the same bed, where does your partner typically sleep?","att9","When was the first time you slept in separate beds?","Which of the following best describes your current occupation?","att26","Gender","Household Income","Education","Location (Census Region)"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 6:13 PM,9/7/14 6:14 PM,"Married","16-20 years","Never",,,,,,"Computer and Mathematical Occupations",,"Male","$100,000 - $149,999","Graduate degree","Pacific"
"One of us snores","One of us makes frequent bathroom trips in the night","-","-","-","-","-","-","-","-","-","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","> 60",9/7/14 6:13 PM,9/7/14 6:16 PM,"Married","More than 20 years","Every night","Separate bedroom",,"Separate bedroom",,"After 20 years of our relationship","Other (please specify)","retired","Male","$100,000 - $149,999","Bachelor degree","West North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 6:13 PM,9/7/14 6:14 PM,"Married","11-15 years","Never",,,,,,"Healthcare Practitioners and Technical Occupations",,"Female","$100,000 - $149,999","Graduate degree","East South Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 6:13 PM,9/7/14 6:14 PM,"Married","More than 20 years","Never",,,,,,"Management Occupations",,"Male","$0 - $24,999","Some college or Associate degree","Mountain"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 6:12 PM,9/7/14 6:13 PM,"Married","More than 20 years","Never",,,,,,"Education, Training, and Library Occupations",,"Female","$0 - $24,999","Bachelor degree","South Atlantic"
"One of us snores","-","One of us is sick","-","-","-","-","-","-","-","-","Strongly agree","Somewhat disagree","Neither agree nor disagree","45-60",9/7/14 6:12 PM,9/7/14 6:14 PM,"Married","16-20 years","Once a year or less","Separate bedroom",,"Separate bedroom",,"Within 6-10 years of our relationship","Sales and Related Occupations",,"Male","$100,000 - $149,999","Bachelor degree","South Atlantic"
"-","-","-","-","-","We've had an argument or fight","-","-","-","-","-","Strongly disagree","Neither agree nor disagree","Somewhat disagree","45-60",9/7/14 6:12 PM,9/7/14 6:13 PM,"Married","11-15 years","Every night","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"Separate bedroom",,"Within 11-15 years of our relationship","Office and Administrative Support Occupations",,"Male","$150,000+","Graduate degree","South Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 6:12 PM,9/7/14 6:13 PM,"Married","More than 20 years","Never",,,,,,"Education, Training, and Library Occupations",,"Female",,"Bachelor degree","South Atlantic"
"One of us snores","-","-","-","-","-","Not enough space","-","-","-","Other (please specify)","Somewhat disagree","Strongly agree","Neither agree nor disagree","> 60",9/7/14 6:12 PM,9/7/14 6:14 PM,"Married","More than 20 years","Every night","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"Separate bedroom",,"After 20 years of our relationship","Healthcare Practitioners and Technical Occupations",,"Female",,"Some college or Associate degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 6:12 PM,9/7/14 6:13 PM,"Married","More than 20 years","Never",,,,,,"Education, Training, and Library Occupations",,"Male","$50,000 - $99,999","Bachelor degree","South Atlantic"
"-","-","One of us is sick","-","-","-","-","-","-","-","-","Neither agree nor disagree","Strongly disagree","Strongly disagree","> 60",9/7/14 6:12 PM,9/7/14 6:15 PM,"Married","More than 20 years","Once a year or less","Separate bedroom",,"Separate bedroom",,"Within 6-10 years of our relationship","Other (please specify)","retired","Female","$150,000+","Bachelor degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","18-29",9/7/14 6:10 PM,9/7/14 6:12 PM,"Married","6-10 years","Never",,,,,,"Education, Training, and Library Occupations",,"Female","$50,000 - $99,999","Graduate degree","Middle Atlantic"
"One of us snores","-","-","-","-","-","-","-","-","-","-","Somewhat agree","Somewhat agree","Neither agree nor disagree","45-60",9/7/14 6:12 PM,9/7/14 6:13 PM,"Married","More than 20 years","A few times per week","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within 11-15 years of our relationship","Education, Training, and Library Occupations",,"Female","$50,000 - $99,999","Some college or Associate degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 6:12 PM,9/7/14 6:13 PM,"Single, but cohabiting with a significant other","11-15 years","Never",,,,,,"Food Preparation and Serving Related Occupations",,"Female","$100,000 - $149,999","Some college or Associate degree","West South Central"
"-","-","-","-","-","-","-","-","-","-","Other (please specify)","Somewhat disagree","Somewhat agree","Somewhat disagree","-",9/7/14 6:12 PM,9/7/14 6:13 PM,"Married","More than 20 years","A few times per month","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within 11-15 years of our relationship","Life, Physical, and Social Science Occupations",,,,,
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 6:11 PM,9/7/14 6:12 PM,"Married","11-15 years","Never",,,,,,"Personal Care and Service Occupations",,"Female","$50,000 - $99,999","Some college or Associate degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 6:11 PM,9/7/14 6:12 PM,"Married","6-10 years","Never",,,,,,"Other (please specify)","Housekeeping supervisor","Female","$25,000 - $49,999","Some college or Associate degree","Mountain"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 6:11 PM,9/7/14 6:13 PM,"Married","More than 20 years","Never",,,,,,"Other (please specify)","retired","Male","$50,000 - $99,999","Bachelor degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 6:11 PM,9/7/14 6:12 PM,"Married","More than 20 years","Never",,,,,,"Production Occupations",,"Male","$50,000 - $99,999","Graduate degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","Other (please specify)","Strongly disagree","Strongly disagree","Strongly disagree","30-44",9/7/14 6:11 PM,9/7/14 6:13 PM,"Single, but cohabiting with a significant other","1-5 years","A few times per month","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"On the couch/chair",,"Within the first 1-5 years of our relationship","Arts, Design, Entertainment, Sports, and Media Occupations",,"Female","$100,000 - $149,999","Bachelor degree","South Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 6:11 PM,9/7/14 6:11 PM,"Married","11-15 years","Never",,,,,,"Office and Administrative Support Occupations",,"Female","$50,000 - $99,999","Bachelor degree","West North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 6:11 PM,9/7/14 6:11 PM,"Married","More than 20 years","Never",,,,,,"Education, Training, and Library Occupations",,"Female","$100,000 - $149,999","Graduate degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 6:11 PM,9/7/14 6:11 PM,"Married","More than 20 years","Never",,,,,,"Life, Physical, and Social Science Occupations",,"Male","$100,000 - $149,999","Graduate degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 6:11 PM,9/7/14 6:11 PM,"Married","More than 20 years","Never",,,,,,"Office and Administrative Support Occupations",,"Female","$100,000 - $149,999","Some college or Associate degree","West North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",9/7/14 6:10 PM,9/7/14 6:11 PM,"Married","More than 20 years","Never",,,,,,"Life, Physical, and Social Science Occupations",,,,,
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 6:10 PM,9/7/14 6:11 PM,"Divorced","1-5 years","Never",,,,,,"Healthcare Support Occupations",,"Female","$50,000 - $99,999","Some college or Associate degree","South Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 6:10 PM,9/7/14 6:13 PM,"Married","1-5 years","Never",,,,,,"Business and Financial Operations Occupations",,"Male","$100,000 - $149,999","Some college or Associate degree","Mountain"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 6:10 PM,9/7/14 6:11 PM,"Married","More than 20 years","Never",,,,,,"Other (please specify)","Retired","Male","$100,000 - $149,999","Graduate degree","South Atlantic"
"One of us snores","-","-","-","-","-","-","-","-","-","-","Somewhat agree","Strongly agree","Strongly disagree","30-44",9/7/14 6:10 PM,9/7/14 6:12 PM,"Married","11-15 years","Every night","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"Separate bedroom",,"Within 11-15 years of our relationship","Other (please specify)","stay at home mom","Female","$50,000 - $99,999","Some college or Associate degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 6:10 PM,9/7/14 6:10 PM,"Married","11-15 years","Never",,,,,,"Other (please specify)","goverment","Male","$100,000 - $149,999","High school degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 6:09 PM,9/7/14 6:10 PM,"Married","More than 20 years","Never",,,,,,"Education, Training, and Library Occupations",,"Female","$100,000 - $149,999","Graduate degree","East South Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","18-29",9/7/14 6:09 PM,9/7/14 6:11 PM,"Single, but cohabiting with a significant other","6-10 years","Never",,,,,,"Business and Financial Operations Occupations",,"Female","$50,000 - $99,999","Bachelor degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 6:09 PM,9/7/14 6:11 PM,"Single, but cohabiting with a significant other","1-5 years","Never",,,,,,"Business and Financial Operations Occupations",,"Female","$50,000 - $99,999","Bachelor degree","South Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 6:09 PM,9/7/14 6:09 PM,"Married","More than 20 years","Never",,,,,,"Legal Occupations",,"Male","$150,000+","Graduate degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 6:09 PM,9/7/14 6:10 PM,"Married","More than 20 years","Never",,,,,,"Life, Physical, and Social Science Occupations",,"Female",,"Graduate degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 6:09 PM,9/7/14 6:10 PM,"Married","16-20 years","Never",,,,,,"Other (please specify)","Homemaker","Female","$50,000 - $99,999","Some college or Associate degree","East North Central"
"One of us snores","-","-","-","-","-","-","-","-","-","-","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","45-60",9/7/14 6:09 PM,9/7/14 6:10 PM,"Married","More than 20 years","Once a month or less","Separate bedroom",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"After 20 years of our relationship","Office and Administrative Support Occupations",,"Female","$50,000 - $99,999","Some college or Associate degree","West North Central"
"One of us snores","-","One of us is sick","-","-","-","-","-","-","-","-","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","> 60",9/7/14 6:08 PM,9/7/14 6:10 PM,"Married","More than 20 years","Once a month or less","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"On the couch/chair",,"Within the first 1-5 years of our relationship","Arts, Design, Entertainment, Sports, and Media Occupations",,"Female",,"Bachelor degree","Middle Atlantic"
"-","-","One of us is sick","-","-","-","-","-","-","-","-","Strongly disagree","Strongly disagree","Strongly disagree","30-44",9/7/14 6:08 PM,9/7/14 6:10 PM,"Married","6-10 years","Once a year or less","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Architecture and Engineering Occupations",,"Female","$150,000+","Graduate degree","South Atlantic"
"One of us snores","One of us makes frequent bathroom trips in the night","One of us is sick","-","-","-","-","-","-","-","Other (please specify)","Strongly agree","Strongly agree","Neither agree nor disagree","30-44",9/7/14 6:08 PM,9/7/14 6:10 PM,"Single, but cohabiting with a significant other","11-15 years","A few times per month","On the couch/chair",,"Shared bedroom, different bed",,"Within the first 1-5 years of our relationship","Office and Administrative Support Occupations",,"Female","$50,000 - $99,999","Bachelor degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 6:08 PM,9/7/14 6:09 PM,"In a domestic partnership or civil union","16-20 years","Never",,,,,,"Education, Training, and Library Occupations",,"Male",,"Graduate degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 6:08 PM,9/7/14 6:09 PM,"In a domestic partnership or civil union","6-10 years","Never",,,,,,"Business and Financial Operations Occupations",,"Female","$100,000 - $149,999","Graduate degree","New England"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 6:08 PM,9/7/14 6:09 PM,"Married","1-5 years","Never",,,,,,"Management Occupations",,"Female",,"Bachelor degree","Middle Atlantic"
"One of us snores","-","-","-","-","We've had an argument or fight","-","-","-","-","Other (please specify)","Neither agree nor disagree","Somewhat disagree","Strongly disagree","30-44",9/7/14 6:07 PM,9/7/14 6:10 PM,"Single, but cohabiting with a significant other","1-5 years","Once a month or less","Separate bedroom",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Management Occupations",,"Female","$100,000 - $149,999","Bachelor degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 6:07 PM,9/7/14 6:08 PM,"Married","16-20 years","Never",,,,,,"Healthcare Practitioners and Technical Occupations",,"Female","$100,000 - $149,999","Bachelor degree","New England"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 6:07 PM,9/7/14 6:08 PM,"Married","11-15 years","Never",,,,,,"Other (please specify)","Environmental Consulting","Female","$50,000 - $99,999","Bachelor degree","New England"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",9/7/14 6:07 PM,9/7/14 6:08 PM,"Married","More than 20 years","Never",,,,,,"Office and Administrative Support Occupations",,,,,
"One of us snores","-","-","-","-","-","-","-","-","-","-","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","45-60",9/7/14 6:07 PM,9/7/14 6:08 PM,"Married","More than 20 years","Once a year or less","On the couch/chair",,"On the couch/chair",,"Within 6-10 years of our relationship","Education, Training, and Library Occupations",,"Female","$50,000 - $99,999","Graduate degree","South Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","18-29",9/7/14 6:07 PM,9/7/14 6:07 PM,"Married","1-5 years","Never",,,,,,"Office and Administrative Support Occupations",,"Male","$25,000 - $49,999","Some college or Associate degree","West South Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 6:06 PM,9/7/14 6:07 PM,"Married","More than 20 years","Never",,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,"Male","$50,000 - $99,999","High school degree","West North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 6:06 PM,9/7/14 6:07 PM,"Married","More than 20 years","Never",,,,,,"Education, Training, and Library Occupations",,"Female","$50,000 - $99,999","Graduate degree","South Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",9/7/14 6:06 PM,9/7/14 6:07 PM,"Married","16-20 years","Never",,,,,,"Education, Training, and Library Occupations",,,,,
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 6:06 PM,9/7/14 6:07 PM,"Married","More than 20 years","Never",,,,,,"Other (please specify)","unemployed","Female","$150,000+","Graduate degree","East North Central"
"One of us snores","-","One of us is sick","-","-","-","-","-","-","-","-","Somewhat disagree","Strongly agree","Strongly disagree","45-60",9/7/14 6:06 PM,9/7/14 6:12 PM,"Married","11-15 years","A few times per month","Separate bedroom",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within 6-10 years of our relationship","Education, Training, and Library Occupations",,"Female","$150,000+","High school degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","Other (please specify)","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","18-29",9/7/14 6:06 PM,9/7/14 6:10 PM,"Single, but cohabiting with a significant other","1-5 years","A few times per week","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"On the couch/chair",,"Within the first 1-5 years of our relationship","Other (please specify)","Physical Service / Trade - Dog Grooming","Female","$50,000 - $99,999","Some college or Associate degree","New England"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 6:06 PM,9/7/14 6:07 PM,"Married","More than 20 years","Never",,,,,,"Office and Administrative Support Occupations",,"Female","$50,000 - $99,999","High school degree","East South Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","18-29",9/7/14 6:06 PM,9/7/14 6:06 PM,"Married","6-10 years","Never",,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,"Female","$100,000 - $149,999","Some college or Associate degree","West North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",9/7/14 6:01 PM,9/7/14 6:06 PM,"Married",,,,,,,,,,,,,
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",9/7/14 6:05 PM,9/7/14 6:06 PM,"Married","16-20 years","Never",,,,,,"Education, Training, and Library Occupations",,,,,
"One of us snores","One of us makes frequent bathroom trips in the night","-","-","-","-","-","-","-","-","-","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","> 60",9/7/14 6:05 PM,9/7/14 6:08 PM,"Married","More than 20 years","A few times per week","Separate bedroom",,"Separate bedroom",,"After 20 years of our relationship","Other (please specify)","retired","Female","$25,000 - $49,999","Graduate degree","Mountain"
"-","-","One of us is sick","-","-","-","-","-","One of us needs to sleep with a child","-","-","Strongly disagree","Neither agree nor disagree","Strongly disagree","45-60",9/7/14 6:05 PM,9/7/14 6:09 PM,"Married","16-20 years","Once a year or less","Separate bedroom",,"On the couch/chair",,"Within 6-10 years of our relationship","Personal Care and Service Occupations",,"Female","$0 - $24,999","Some college or Associate degree","West North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 6:05 PM,9/7/14 6:06 PM,"Single, but cohabiting with a significant other","6-10 years","Never",,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,"Female","$50,000 - $99,999","Some college or Associate degree","Mountain"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",9/7/14 6:05 PM,9/7/14 6:06 PM,"Married","6-10 years","Never",,,,,,"Sales and Related Occupations",,,,,
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 6:05 PM,9/7/14 6:05 PM,"Married","More than 20 years","Never",,,,,,"Office and Administrative Support Occupations",,"Female",,"Some college or Associate degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 6:05 PM,9/7/14 6:06 PM,"Married","More than 20 years","Never",,,,,,"Other (please specify)","global health, management consulting","Female",,"Graduate degree","South Atlantic"
"One of us snores","One of us makes frequent bathroom trips in the night","-","-","-","-","-","-","-","Night working/very different sleeping times","-","Somewhat disagree","Somewhat agree","Neither agree nor disagree","> 60",9/7/14 6:05 PM,9/7/14 6:08 PM,"Married","More than 20 years","Every night","Separate bedroom",,"Separate bedroom",,"Within 16-20 years of our relationship","Other (please specify)","Retired","Female","$50,000 - $99,999","High school degree","South Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 6:05 PM,9/7/14 6:05 PM,"Married","More than 20 years","Never",,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,"Female","$150,000+","Bachelor degree","Middle Atlantic"
"One of us snores","-","One of us is sick","-","-","-","Not enough space","-","-","-","-","Somewhat agree","Strongly agree","Neither agree nor disagree","45-60",9/7/14 6:04 PM,9/7/14 6:06 PM,"Married","16-20 years","Every night","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"On the couch/chair",,"Within 11-15 years of our relationship","Community and Social Service Occupations",,"Female","$25,000 - $49,999","Bachelor degree","West South Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",9/7/14 6:04 PM,9/7/14 6:05 PM,"Married","6-10 years","Never",,,,,,"Legal Occupations",,,,,
"-","-","-","-","-","-","-","-","-","-","Other (please specify)","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","> 60",9/7/14 6:04 PM,9/7/14 6:06 PM,"Married","More than 20 years","Every night","Shared bedroom, different bed",,"Shared bedroom, different bed",,"Immediately/ We've always slept in separate beds","Computer and Mathematical Occupations",,"Male","$25,000 - $49,999","Graduate degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 6:04 PM,9/7/14 6:08 PM,"In a domestic partnership or civil union","6-10 years","Never",,,,,,"Building and Grounds Cleaning and Maintenance Occupations",,"Female","$25,000 - $49,999","Some college or Associate degree","Middle Atlantic"
"-","-","-","-","-","We've had an argument or fight","-","-","-","-","-","Somewhat agree","Somewhat agree","Neither agree nor disagree","30-44",9/7/14 6:02 PM,9/7/14 6:05 PM,"In a domestic partnership or civil union","1-5 years","Once a year or less","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Office and Administrative Support Occupations",,"Male","$50,000 - $99,999","Some college or Associate degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 6:04 PM,9/7/14 6:05 PM,"Married","More than 20 years","Never",,,,,,"Management Occupations",,"Male","$100,000 - $149,999","Graduate degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 6:04 PM,9/7/14 6:05 PM,"Married","6-10 years","Never",,,,,,"Sales and Related Occupations",,"Female","$150,000+","High school degree","West South Central"
"One of us snores","-","One of us is sick","-","-","-","-","-","-","-","-","Strongly disagree","Somewhat agree","Strongly disagree","> 60",9/7/14 6:04 PM,9/7/14 6:06 PM,"Married","More than 20 years","Once a month or less","Separate bedroom",,"On the couch/chair",,"After 20 years of our relationship","Office and Administrative Support Occupations",,"Female","$50,000 - $99,999","Some college or Associate degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","Other (please specify)","Strongly disagree","Strongly disagree","Strongly disagree","30-44",9/7/14 6:03 PM,9/7/14 6:05 PM,"Married","16-20 years","Every night","Other (please specify)","always sleep in same bed","Other (please specify)","always sleep in same bed","Within the first 1-5 years of our relationship","Education, Training, and Library Occupations",,"Female",,"Graduate degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 6:03 PM,9/7/14 6:05 PM,"Married","More than 20 years","Never",,,,,,"Other (please specify)","real estate appraisal","Female","$150,000+","Bachelor degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 6:02 PM,9/7/14 6:03 PM,"Married","More than 20 years","Never",,,,,,"Healthcare Practitioners and Technical Occupations",,"Female","$100,000 - $149,999","Some college or Associate degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 6:02 PM,9/7/14 6:03 PM,"Married","More than 20 years","Never",,,,,,"Healthcare Practitioners and Technical Occupations",,"Female","$150,000+","Graduate degree","New England"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 6:02 PM,9/7/14 6:03 PM,"Married","More than 20 years","Never",,,,,,"Community and Social Service Occupations",,"Female","$50,000 - $99,999","Bachelor degree","South Atlantic"
"One of us snores","-","-","-","-","-","-","-","-","-","-","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","-",9/7/14 6:02 PM,9/7/14 6:03 PM,"Married","More than 20 years","A few times per month","Separate bedroom",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"After 20 years of our relationship","Education, Training, and Library Occupations",,,,,
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 6:02 PM,9/7/14 6:02 PM,"Married","6-10 years","Never",,,,,,"Legal Occupations",,"Female","$150,000+","High school degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 6:02 PM,9/7/14 6:03 PM,"Married","More than 20 years","Never",,,,,,"Other (please specify)","Retired","Female",,"Graduate degree","South Atlantic"
"One of us snores","-","-","-","We have different temperature preferences for the room","-","Not enough space","Do not want to share the covers","-","-","-","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","30-44",9/7/14 6:02 PM,9/7/14 6:04 PM,"Married","11-15 years","Every night","Separate bedroom",,"Separate bedroom",,"Within the first 1-5 years of our relationship","Education, Training, and Library Occupations",,"Female",,"Graduate degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 6:02 PM,9/7/14 6:02 PM,"Married","16-20 years","Never",,,,,,"Management Occupations",,"Female","$50,000 - $99,999","Some college or Associate degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 6:01 PM,9/7/14 6:02 PM,"In a domestic partnership or civil union","6-10 years","Never",,,,,,"Education, Training, and Library Occupations",,"Female","$50,000 - $99,999","Graduate degree","South Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 6:01 PM,9/7/14 6:02 PM,"Married","More than 20 years","Never",,,,,,"Other (please specify)","Retired Christian Pastor","Male","$25,000 - $49,999","Graduate degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","One of us needs to sleep with a child","-","-","Strongly agree","Somewhat disagree","Somewhat agree","30-44",9/7/14 6:01 PM,9/7/14 6:04 PM,"Married","16-20 years","A few times per month","Separate bedroom",,"Shared bedroom, different bed",,"Within 11-15 years of our relationship","Healthcare Support Occupations",,"Male","$150,000+","Graduate degree","New England"
"-","-","-","-","-","-","-","-","-","-","Other (please specify)","Strongly disagree","Somewhat agree","Strongly disagree","> 60",9/7/14 6:01 PM,9/7/14 6:03 PM,"Married","More than 20 years","Once a month or less","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"After 20 years of our relationship","Management Occupations",,"Male",,"Bachelor degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 6:01 PM,9/7/14 6:02 PM,"Single, but cohabiting with a significant other","11-15 years","Never",,,,,,"Architecture and Engineering Occupations",,"Female","$25,000 - $49,999","Some college or Associate degree","West South Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 6:01 PM,9/7/14 6:02 PM,"Married","11-15 years","Never",,,,,,"Other (please specify)","caregiver for disabled husband and child","Female","$0 - $24,999","High school degree","East South Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 6:01 PM,9/7/14 6:03 PM,"Married","More than 20 years","Never",,,,,,"Life, Physical, and Social Science Occupations",,"Female","$100,000 - $149,999","Graduate degree","East North Central"
"One of us snores","-","-","-","We have different temperature preferences for the room","-","-","-","-","Night working/very different sleeping times","Other (please specify)","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","45-60",9/7/14 6:01 PM,9/7/14 6:09 PM,"Married","16-20 years","Once a month or less","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within 11-15 years of our relationship","Computer and Mathematical Occupations",,"Male","$50,000 - $99,999","Some college or Associate degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 6:01 PM,9/7/14 6:01 PM,"Married","More than 20 years","Never",,,,,,"Healthcare Practitioners and Technical Occupations",,"Female",,"Graduate degree","New England"
